CustomerID,actual_churn,predicted_churn,churn_probability,prediction_correct
54618,1,1,0.9603883568980254,True
54288,1,1,0.9546850719611115,True
50339,1,1,0.9469897635283097,True
51215,1,1,0.9399348006453355,True
50936,1,1,0.9351396038933352,True
53751,1,1,0.9348699388725434,True
54023,1,1,0.9271301921265284,True
51012,1,1,0.9244371032247279,True
52094,1,1,0.9209988577700632,True
52077,1,1,0.9184754198770153,True
50329,1,1,0.9169252114854962,True
51517,1,1,0.9169086883903441,True
50607,1,1,0.9136835812662187,True
50808,1,1,0.9108938573683464,True
50944,1,1,0.9058261316878352,True
54870,1,1,0.905722597381432,True
52343,1,1,0.9050010850523256,True
50199,1,1,0.9010121325550415,True
55434,1,1,0.8997225497266199,True
51803,1,1,0.8962706012150826,True
51510,0,1,0.8928804481395961,False
52582,1,1,0.8917714636767137,True
55314,1,1,0.890830001003795,True
51038,1,1,0.8879835310184946,True
50933,1,1,0.8852949979194982,True
51312,0,1,0.8852852232039262,False
50014,1,1,0.8812563925169706,True
53009,0,1,0.8790911763698434,False
55229,1,1,0.8785166564992847,True
54263,1,1,0.8780694906577206,True
54127,0,1,0.8751629635558054,False
50438,1,1,0.8749111891818074,True
52920,1,1,0.874132953679137,True
54601,1,1,0.8688668410549789,True
50013,1,1,0.8680684974527001,True
53727,1,1,0.8660724704315047,True
50569,1,1,0.865721396594125,True
54990,1,1,0.8656343673200684,True
51516,0,1,0.8640770916260032,False
51348,1,1,0.8632362006545111,True
52353,1,1,0.8629585824619879,True
52721,1,1,0.860687427483207,True
50355,1,1,0.8596079443768667,True
55347,1,1,0.8585294509674068,True
51457,1,1,0.8584231470248831,True
55362,1,1,0.8583759583484875,True
55271,1,1,0.8583465134827449,True
54923,1,1,0.8581344622599871,True
54454,1,1,0.8569027514848614,True
52483,0,1,0.8548971258122884,False
54806,1,1,0.8548687079550206,True
54750,1,1,0.8547145208588581,True
50718,1,1,0.8533199451962571,True
52423,1,1,0.8522878995447394,True
52788,1,1,0.8513488510025776,True
53580,0,1,0.8491769453373421,False
51473,1,1,0.846665585029204,True
51318,1,1,0.8433976283122244,True
51133,1,1,0.8416852159937999,True
53305,1,1,0.8416243635681819,True
51157,1,1,0.8406689023604295,True
54040,0,1,0.8398767999154474,False
52617,1,1,0.8376406662194973,True
54497,1,1,0.8372407072398089,True
52513,1,1,0.8371452327048476,True
52126,1,1,0.8369415006332835,True
53196,0,1,0.8368143751795795,False
53749,1,1,0.8355148211522208,True
53069,1,1,0.8348963258223353,True
54817,1,1,0.8332769831221009,True
51043,1,1,0.8329715331671836,True
55173,1,1,0.8328612779337881,True
54104,0,1,0.8296938036978142,False
54293,1,1,0.8277324825477419,True
53487,1,1,0.8268686746789539,True
51585,1,1,0.8267868214630408,True
53126,1,1,0.823899083900009,True
54400,1,1,0.8231557747933941,True
53707,1,1,0.8176856632987185,True
55177,1,1,0.8176856632987185,True
54957,1,1,0.8158632988787591,True
54775,1,1,0.8155223708114456,True
50258,1,1,0.8080669205647216,True
51728,1,1,0.8080669205647216,True
